id,label,hemisphere,structure,newcode
1,bankssts,L,cortex,ST13CV
2,caudalanteriorcingulate,L,cortex,ST14CV
3,caudalmiddlefrontal,L,cortex,ST15CV
4,cuneus,L,cortex,ST23CV
5,entorhinal,L,cortex,ST24CV
6,fusiform,L,cortex,ST26CV
7,inferiorparietal,L,cortex,ST31CV
8,inferiortemporal,L,cortex,ST32CV
9,isthmuscingulate,L,cortex,ST34CV
10,lateraloccipital,L,cortex,ST35CV
11,lateralorbitofrontal,L,cortex,ST36CV
12,lingual,L,cortex,ST38CV
13,medialorbitofrontal,L,cortex,ST39CV
14,middletemporal,L,cortex,ST40CV
15,parahippocampal,L,cortex,ST44CV
16,paracentral,L,cortex,ST43CV
17,parsopercularis,L,cortex,ST45CV
18,parsorbitalis,L,cortex,ST46CV
19,parstriangularis,L,cortex,ST47CV
20,pericalcarine,L,cortex,ST48CV
21,postcentral,L,cortex,ST49CV
22,posteriorcingulate,L,cortex,ST50CV
23,precentral,L,cortex,ST51CV
24,precuneus,L,cortex,ST52CV
25,rostralanteriorcingulate,L,cortex,ST113CV
26,rostralmiddlefrontal,L,cortex,ST55CV
27,superiorfrontal,L,cortex,ST56CV
28,superiorparietal,L,cortex,ST57CV
29,superiortemporal,L,cortex,ST58CV
30,supramarginal,L,cortex,ST59CV
31,frontalpole,L,cortex,ST25CV
32,temporalpole,L,cortex,ST60CV
33,transversetemporal,L,cortex,ST62CV
34,insula,L,cortex,ST129CV
35,thalamusproper,L,subcortex/brainstem,ST61SV
36,caudate,L,subcortex/brainstem,ST16SV
37,putamen,L,subcortex/brainstem,ST53SV
38,pallidum,L,subcortex/brainstem,ST42SV
39,accumbensarea,L,subcortex/brainstem,ST11SV
40,hippocampus,L,subcortex/brainstem,ST29SV
41,amygdala,L,subcortex/brainstem,ST12SV
42,bankssts,R,cortex,ST72CV
43,caudalanteriorcingulate,R,cortex,ST73CV
44,caudalmiddlefrontal,R,cortex,ST74CV
45,cuneus,R,cortex,ST82CV
46,entorhinal,R,cortex,ST83CV
47,fusiform,R,cortex,ST85CV
48,inferiorparietal,R,cortex,ST90CV
49,inferiortemporal,R,cortex,ST91CV
50,isthmuscingulate,R,cortex,ST93CV
51,lateraloccipital,R,cortex,ST94CV
52,lateralorbitofrontal,R,cortex,ST95CV
53,lingual,R,cortex,ST97CV
54,medialorbitofrontal,R,cortex,ST98CV
55,middletemporal,R,cortex,ST99CV
56,parahippocampal,R,cortex,ST103CV
57,paracentral,R,cortex,ST102CV
58,parsopercularis,R,cortex,ST104CV
59,parsorbitalis,R,cortex,ST105CV
60,parstriangularis,R,cortex,ST106CV
61,pericalcarine,R,cortex,ST107CV
62,postcentral,R,cortex,ST108CV
63,posteriorcingulate,R,cortex,ST109CV
64,precentral,R,cortex,ST110CV
65,precuneus,R,cortex,ST111CV
66,rostralanteriorcingulate,R,cortex,ST113SA
67,rostralmiddlefrontal,R,cortex,ST114CV
68,superiorfrontal,R,cortex,ST115CV
69,superiorparietal,R,cortex,ST116CV
70,superiortemporal,R,cortex,ST117CV
71,supramarginal,R,cortex,ST118CV
72,frontalpole,R,cortex,ST84CV
73,temporalpole,R,cortex,ST119CV
74,transversetemporal,R,cortex,ST121CV
75,insula,R,cortex,ST130CV
76,thalamusproper,R,subcortex/brainstem,ST120SV
77,caudate,R,subcortex/brainstem,ST75SV
78,putamen,R,subcortex/brainstem,ST112SV
79,pallidum,R,subcortex/brainstem,ST101SV
80,accumbensarea,R,subcortex/brainstem,ST70SV
81,hippocampus,R,subcortex/brainstem,ST88SV
82,amygdala,R,subcortex/brainstem,ST71SV
83,brainstem,B,subcortex/brainstem,ST76SV
,,,,ST17SV
